"","logW","E.logW","gap","SE.sim","W","K","Simulation"
"63",11.640929799674,12.3476075440747,0.706677744400746,0.0121426603217302,"1.1",3,3
"64",11.608683957264,12.3334076395048,0.724723682240752,0.0122935360866038,"1.1",4,3
"65",11.5755757959106,12.316429906901,0.740854110990345,0.0119828614686013,"1.1",5,3
"66",11.5618207048095,12.2997880503304,0.737967345520895,0.0119724696093844,"1.1",6,3
"67",11.7323923897708,12.3946092960132,0.662216906242357,0.0104745872101344,"1.575",1,3
"68",11.6535777258428,12.3675893441568,0.714011618313993,0.0111710220515441,"1.575",2,3
"69",11.6327773841855,12.3477662332068,0.714988849021285,0.0110251196441868,"1.575",3,3
"70",11.589713339206,12.3296586685875,0.739945329381534,0.0116314592804531,"1.575",4,3
"71",11.5743471959905,12.3136144564795,0.73926726048907,0.0114378331626181,"1.575",5,3
"72",11.5537054430132,12.2980935082238,0.744388065210584,0.0117789139803348,"1.575",6,3
"73",11.7323923897708,12.39408327251,0.661690882739123,0.00983561475676647,"2.05",1,3
"74",11.6535777258428,12.3666987062199,0.713120980377159,0.0107374286262551,"2.05",2,3
"75",11.6114191310173,12.3465270642675,0.735107933250163,0.0108430231673385,"2.05",3,3
"76",11.588831968149,12.3272994133587,0.738467445209704,0.0111866848268238,"2.05",4,3
"77",11.572224812373,12.3097828197403,0.737558007367262,0.0112037213759819,"2.05",5,3
"78",11.556420249021,12.2928749888555,0.736454739834437,0.0118146364976874,"2.05",6,3
"79",11.7323923897708,12.3949881669894,0.662595777218543,0.00990098719750191,"2.525",1,3
"80",11.6224762568709,12.3679631838574,0.745486926986556,0.0105020261466176,"2.525",2,3
"81",11.6015663092884,12.3473840798346,0.745817770546221,0.0105684549953825,"2.525",3,3
"82",11.5676502418681,12.327597811691,0.759947569822911,0.0110219313062671,"2.525",4,3
"83",11.5515859969465,12.3095888567706,0.758002859824087,0.0114932283159074,"2.525",5,3
